query_id,scene,question,status,Acc,vIoU,tIoU,dataset_type,gt_active_count,pred_active_count,temporal_inter,temporal_union,mask_found,mask_missing,vIoU_count,validation_path,dataset_dir_used,binary_mask_dir_used
cut_lemon_q1,cut_lemon,正在切割柠檬的刀。,ok,0.9325301204819277,0.01936126625666209,0.163135593220339,hypernerf,2360,385,385,2360,30,0,30,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q1/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/interp/cut-lemon1,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q1/final_query_render_sourcebg/binary_masks
cut_lemon_q2,cut_lemon,被切成两半之前的柠檬。,ok,0.9951807228915662,0.025662506909342866,0.17485182049110923,hypernerf,2360,415,413,2362,30,0,30,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q2/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/interp/cut-lemon1,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q2/final_query_render_sourcebg/binary_masks
cut_lemon_q3,cut_lemon,握着刀的左手。,ok,0.17349397590361446,0.0007039900038115493,0.02324561403508772,hypernerf,2280,53,53,2280,28,0,28,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q3/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/interp/cut-lemon1,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q3/final_query_render_sourcebg/binary_masks
cut_lemon_q4,cut_lemon,所有参与切割动作的物体。,ok,0.9036144578313253,0.055814897520645404,0.15805084745762712,hypernerf,2360,373,373,2360,30,0,30,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q4/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/interp/cut-lemon1,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q4/final_query_render_sourcebg/binary_masks
cut_lemon_q5,cut_lemon,正在移动的手和刀。,ok,0.13253012048192772,0.001970903763458409,0.022457627118644068,hypernerf,2360,53,53,2360,30,0,30,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q5/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/interp/cut-lemon1,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q5/final_query_render_sourcebg/binary_masks
cut_lemon_q6,cut_lemon,除了木板之外的所有物体。,ok,0.9951807228915662,0.02462944796448343,0.17485182049110923,hypernerf,2360,415,413,2362,30,0,30,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q6/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/interp/cut-lemon1,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q6/final_query_render_sourcebg/binary_masks
cut_lemon_q7,cut_lemon,木板上的金属勺子。,ok,1.0,1.0,1.0,hypernerf,0,0,0,0,0,0,0,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q7/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/interp/cut-lemon1,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q7/final_query_render_sourcebg/binary_masks
cut_lemon_q8,cut_lemon,在砧板上被切的橙子。,ok,1.0,1.0,1.0,hypernerf,0,0,0,0,0,0,0,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q8/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/interp/cut-lemon1,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_cutlemon_refresh_20260329/hypernerf/cut-lemon1/entitybank/query_guided/cut_lemon_q8/final_query_render_sourcebg/binary_masks
espresso_q1,espresso,正在被注入液体的玻璃杯。,ok,0.9896907216494846,0.41010656488306463,0.24870466321243523,hypernerf,770,194,192,772,80,0,80,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q1/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/misc/espresso,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q1/final_query_render_sourcebg/binary_masks
espresso_q2,espresso,加入任何液体之前的玻璃杯。,ok,0.9896907216494846,0.5974672872962781,0.24870466321243523,hypernerf,770,194,192,772,80,0,80,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q2/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/misc/espresso,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q2/final_query_render_sourcebg/binary_masks
espresso_q3,espresso,完全装满后的玻璃杯。,ok,0.9896907216494846,0.4090208250011079,0.24870466321243523,hypernerf,770,194,192,772,80,0,80,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q3/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/misc/espresso,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q3/final_query_render_sourcebg/binary_masks
espresso_q4,espresso,在整个视频中物理位置始终保持静止的所有物体。,ok,0.9896907216494846,0.0526344395466244,0.24870466321243523,hypernerf,770,194,192,772,81,0,81,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q4/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/misc/espresso,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q4/final_query_render_sourcebg/binary_masks
espresso_q5,espresso,桌子上的蓝色玻璃杯。,ok,1.0,1.0,1.0,hypernerf,0,0,0,0,0,0,0,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q5/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/misc/espresso,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q5/final_query_render_sourcebg/binary_masks
espresso_q6,espresso,倾倒过程中移动的杯子。,ok,1.0,1.0,1.0,hypernerf,0,0,0,0,0,0,0,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q6/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/misc/espresso,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q6/final_query_render_sourcebg/binary_masks
espresso_q7,espresso,显示重量正在增加的电子秤。,ok,0.9896907216494846,0.14724277222275697,0.24870466321243523,hypernerf,770,194,192,772,80,0,80,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q7/final_query_render_sourcebg/validation.json,/root/autodl-tmp/GaussianStellar/data/hypernerf/misc/espresso,/root/autodl-tmp/GaussianStellar/runs/stellar_tube_4dlangsplat_refresh_20260328_espresso/hypernerf/espresso/entitybank/query_guided/espresso_q7/final_query_render_sourcebg/binary_masks
